English (en),Dutch (nl),English (en),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,nuttig,aantal woorden,gelijk,nieuw,dutch new
accent,accent,accent,0,0,0,0,0,0,0,0,0,0,nee,1,,,accent
accentuate,accentueren,accentuate,0,0,0,0,0,0,0,0,0,0,nee,1,,,accentueren
accept,aanvaarden,accept,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanvaarden
acceptable,aanvaardbaar,acceptable,1,0,0,0,0,0,0,0,0,0,ja,1,,,aanvaardbaar
acceptance,aanvaarding,acceptance,1,0,0,0,0,0,0,0,0,0,ja,1,,,aanvaarding
access,toegang,access,0,0,0,0,0,0,0,0,0,0,nee,1,,,toegang
accessible,beschikbaar,accessible,1,0,0,0,0,0,0,0,0,0,ja,1,,,beschikbaar
accession,toetreding,accession,0,0,0,0,0,0,0,0,0,0,nee,1,,,toetreding
accessory,medeplichtig,accessory,0,0,0,0,0,0,0,0,0,0,nee,1,,,medeplichtig
accident,ongeval,accident,0,1,0,0,0,1,0,1,1,0,ja,1,,,ongeval
accidental,onopzettelijk,accidental,0,1,0,0,0,1,0,0,1,0,ja,1,,,onopzettelijk
accidentally,per ongeluk,accidentally,0,0,0,0,0,0,0,0,1,0,ja,2,,onopzettelijk,onopzettelijk
accolade,accolade,accolade,1,0,0,1,0,0,1,0,1,1,ja,1,,,accolade
accommodate,accommoderen,accommodate,0,0,0,0,0,0,0,0,0,0,nee,1,,,accommoderen
accommodation,accommodatie,accommodation,1,0,0,0,0,0,0,0,0,0,ja,1,,,accommodatie
accompaniment,begeleiding,accompaniment,1,0,0,1,0,0,1,0,0,1,ja,1,,,begeleiding
accompany,begeleiden,accompany,0,0,0,0,0,0,0,0,0,0,nee,1,,,begeleiden
accompanying,begeleidend,accompanying,0,0,0,0,0,0,0,0,0,0,nee,1,,,begeleidend
accomplice,medeplichtige,accomplice,0,0,0,0,0,0,0,0,0,0,nee,1,,,medeplichtige
accomplish,bereiken,accomplish,1,0,0,0,0,0,1,0,0,0,ja,1,,,bereiken
accomplished,volbracht,accomplished,1,0,0,0,0,0,1,0,0,0,ja,1,,,volbracht
accomplishment,prestatie,accomplishment,1,0,0,0,0,0,0,0,0,0,ja,1,,,prestatie
accord,overeenstemming,accord,1,0,0,0,0,0,0,0,0,1,ja,1,,,overeenstemming
accordance,overeenstemming,accordance,0,0,0,0,0,0,0,0,0,0,nee,1,,,overeenstemming
accordion,accordeon,accordion,0,0,0,0,0,0,0,0,0,0,nee,1,,,accordeon
account,account,account,0,0,0,0,0,0,0,0,0,1,ja,1,,,account
accountability,verantwoording,accountability,1,0,0,0,0,0,0,0,0,1,ja,1,,,verantwoording
accountable,verantwoordelijk,accountable,1,0,0,0,0,0,0,0,0,1,ja,1,,,verantwoordelijk
accountant,accountant,accountant,0,0,0,0,0,0,0,0,0,1,ja,1,,,accountant
accounting,accounting,accounting,0,0,0,0,0,0,0,0,0,0,nee,1,,,accounting
accounts,rekeningen,accounts,0,0,0,0,0,0,0,0,0,1,ja,1,,,rekeningen
accredited,geaccrediteerd,accredited,1,0,0,0,0,0,0,0,0,1,ja,1,,,geaccrediteerd
accretion,aanwas,accretion,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanwas
accrue,toenemen,accrue,0,0,0,0,0,0,0,0,0,0,nee,1,,,toenemen
accueil,NO TRANSLATION,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0,ja,2,ongelijk,ontvangst,ontvangst
accumulate,accumuleren,accumulate,0,0,0,0,0,0,0,0,0,0,nee,1,,,accumuleren
accumulation,ophoping,accumulation,0,0,0,0,0,0,0,0,0,0,nee,1,,,ophoping
accuracy,nauwkeurigheid,accuracy,0,0,0,0,0,0,0,0,0,0,nee,1,,,nauwkeurigheid
accurate,accuraat,accurate,1,0,0,0,0,0,0,0,0,1,ja,1,,,accuraat
accursed,vervloekt,accursed,0,1,1,0,0,1,0,1,0,0,ja,1,,,vervloekt
accusation,beschuldiging,accusation,0,1,1,0,1,0,0,0,0,0,ja,1,,,beschuldiging
accusative,accusatief,accusative,0,1,0,0,0,0,0,0,0,0,ja,1,,,accusatief
accused,verdachte,accused,0,1,1,0,0,1,0,0,0,0,ja,1,,,verdachte
accuser,aanklager,accuser,0,1,1,0,0,1,0,0,0,0,ja,1,,,aanklager
accusing,beschuldigen,accusing,0,1,1,0,0,1,0,0,0,0,ja,1,,,beschuldigen
accustomed,gebruikelijk,accustomed,0,0,0,0,0,0,0,0,0,0,nee,1,,,gebruikelijk
ace,aas,ace,1,0,0,0,0,0,0,0,0,0,ja,1,,,aas
acetic,azijnzuur,acetic,0,0,0,0,0,0,0,0,0,0,nee,1,,,azijnzuur
ache,pijn,ache,0,1,0,0,0,0,0,1,0,0,ja,1,,,pijn
achieve,bereiken,achieve,1,0,0,0,0,0,1,0,0,1,ja,1,,,bereiken
achievement,prestatie,achievement,1,0,0,1,0,0,1,0,0,1,ja,1,,,prestatie
aching,pijnlijke,aching,0,1,0,0,0,0,0,1,0,0,ja,1,,,pijnlijke
acid,zuur,acid,0,1,0,0,0,0,0,0,0,0,ja,1,,,zuur
acidity,zuurheid,acidity,0,0,0,0,0,0,0,0,0,0,nee,1,,,zuurheid
acknowledge,erkennen,acknowledge,0,0,0,0,0,0,0,0,0,0,nee,1,,,erkennen
acknowledged,erkend,acknowledged,0,0,0,0,0,0,0,0,0,0,nee,1,,,erkend
acknowledgment,erkenning,acknowledgment,1,0,0,0,0,0,0,0,0,0,ja,1,,,erkenning
acme,toppunt,acme,0,0,0,0,0,0,0,0,0,0,nee,1,,,toppunt
acoustic,akoestisch,acoustic,0,0,0,0,0,0,0,0,0,0,nee,1,,,akoestisch
acoustics,akoestiek,acoustics,0,0,0,0,0,0,0,0,0,0,nee,1,,,akoestiek
acquaint,bekend maken,acquaint,0,0,0,0,0,0,0,0,0,0,nee,2,,,bekend maken
acquaintance,kennis,acquaintance,0,0,0,0,0,0,0,0,0,0,nee,1,,,kennis
acquainted,kennis gemaakt,acquainted,0,0,0,0,0,0,0,0,0,0,nee,2,,,kennis gemaakt
acquiescence,berusting,acquiescence,0,0,0,0,0,0,0,0,0,0,nee,1,,,berusting
acquire,verkrijgen,acquire,1,0,0,0,0,0,0,0,0,0,ja,1,,,verkrijgen
acquiring,verwerven,acquiring,1,0,0,1,0,0,0,0,0,0,ja,1,,,verwerven
acquisition,acquisitie,acquisition,0,0,0,0,0,0,0,0,0,0,nee,1,,,acquisitie
acquisitions,overnames,acquisitions,0,0,0,0,0,0,0,0,0,0,nee,1,,,overnames
acreage,oppervlakte,acreage,0,0,0,0,0,0,0,0,0,0,nee,1,,,oppervlakte
acres,acres,acres,0,0,0,0,0,0,0,0,0,0,nee,1,,,acres
acrobat,acrobaat,acrobat,1,0,0,0,0,1,1,0,0,1,ja,1,,,acrobaat
act,handelen,act,0,0,0,0,0,0,0,0,0,0,nee,1,,,handelen
acting,acteren,acting,0,0,0,0,0,0,0,0,0,0,nee,1,,,acteren
action,actie,action,1,0,0,0,0,0,0,0,0,0,ja,1,,,actie
actionable,actiegericht,actionable,0,1,1,0,1,0,0,0,0,0,ja,1,,,actiegericht
active,actief,active,0,0,0,0,0,0,0,0,0,0,nee,1,,,actief
activity,activiteit,activity,0,0,0,0,0,0,0,0,0,0,nee,1,,,activiteit
actor,acteur,actor,0,0,0,0,0,0,0,0,0,0,nee,1,,,acteur
actual,werkelijk,actual,1,0,0,0,0,0,0,0,0,0,ja,1,,,werkelijk
actuality,actualiteit,actuality,0,0,0,0,0,0,0,0,0,0,nee,1,,,actualiteit
actuary,actuaris,actuary,0,0,0,0,0,0,0,0,0,0,nee,1,,,actuaris
acuity,scherpheid,acuity,1,0,0,0,0,0,0,0,0,0,ja,1,,,scherpheid
acumen,scherpzinnigheid,acumen,1,0,0,0,0,0,0,0,0,0,ja,1,,,scherpzinnigheid
acupuncture,acupunctuur,acupuncture,0,0,0,0,0,0,0,0,0,0,nee,1,,,acupunctuur
acutely,acuut,acutely,0,0,0,0,0,0,0,0,0,0,nee,1,,,acuut
adage,gezegde,adage,0,0,0,0,0,0,0,0,0,0,nee,1,,,gezegde
adamant,onvermurwbaar,adamant,0,0,0,0,0,0,0,0,0,0,nee,1,,,onvermurwbaar
adapt,zich aanpassen,adapt,1,0,0,0,0,0,0,0,0,0,ja,2,,,zich aanpassen
adaptable,aanpasbaar,adaptable,1,0,0,0,0,0,0,0,0,0,ja,1,,,aanpasbaar
add,toevoegen,add,0,0,0,0,0,0,0,0,0,0,nee,1,,,toevoegen
added,toegevoegd,added,0,0,0,0,0,0,0,0,0,0,nee,1,,,toegevoegd
addendum,bijvoegsel,addendum,0,0,0,0,0,0,0,0,0,0,nee,1,,,bijvoegsel
adder,adder,adder,0,1,1,0,1,1,0,1,0,0,ja,1,,,adder
addiction,verslaving,addiction,0,1,0,0,0,0,0,0,0,0,ja,1,,,verslaving
addition,toevoeging,addition,0,0,0,0,0,0,0,0,0,0,nee,1,,,toevoeging
additional,extra,additional,0,0,0,0,0,0,0,0,0,0,nee,1,,,extra
additive,toevoeging,additive,0,0,0,0,0,0,0,0,0,0,nee,1,,,toevoeging
address,adres,address,0,0,0,0,0,0,0,0,0,0,nee,1,,,adres
addressee,geadresseerde,addressee,0,0,0,0,0,0,0,0,0,0,nee,1,,,geadresseerde
addresses,adressen,addresses,1,0,0,1,0,0,0,0,0,0,ja,1,,,adressen
adept,bedreven,adept,1,0,0,0,0,0,0,0,0,0,ja,1,,,bedreven
adequacy,NO TRANSLATION,NO TRANSLATION,1,0,0,0,0,0,0,0,0,0,ja,2,ongelijk,toereikendheid,toereikendheid
adequate,voldoende,adequate,0,0,0,0,0,0,0,0,0,0,nee,1,,,voldoende
adhere,aanhangen,adhere,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanhangen
adherence,aanhankelijkheid,adherence,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanhankelijkheid
adherent,aanhanger,adherent,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanhanger
adhering,hechtende,adhering,0,0,0,0,0,0,0,0,0,1,ja,1,,,hechtende
adhesion,adhesie,adhesion,0,0,0,0,0,0,0,0,0,0,nee,1,,,adhesie
adhesive,zelfklevend,adhesive,0,0,0,0,0,0,0,0,0,0,nee,1,,,zelfklevend
adieu,Adieu,adieu,0,0,0,0,0,0,0,0,0,0,nee,1,,,Adieu
adipose,vet,adipose,0,1,0,0,0,0,0,0,0,0,ja,1,,,vet
adjacency,nabijheid,adjacency,0,0,0,0,0,0,0,0,0,0,nee,1,,,nabijheid
adjacent,aangrenzend,adjacent,0,0,0,0,0,0,0,0,0,0,nee,1,,,aangrenzend
adjective,bijvoeglijk naamwoord,adjective,0,0,0,0,0,0,0,0,0,0,nee,2,,,bijvoeglijk naamwoord
adjoining,aangrenzende,adjoining,0,0,0,0,0,0,0,0,0,0,nee,1,,,aangrenzende
adjourn,verdagen,adjourn,0,0,0,0,0,0,0,0,0,0,nee,1,,,verdagen
adjournment,verdaging,adjournment,0,0,0,0,0,0,0,0,0,0,nee,1,,,verdaging
adjudicate,berechten,adjudicate,0,1,0,0,0,1,0,0,0,0,ja,1,,,berechten
adjudication,toewijzing,adjudication,0,0,0,0,0,0,0,0,0,0,nee,1,,,toewijzing
adjunct,toevoegsel,adjunct,1,0,0,0,0,0,0,0,0,0,ja,1,,,toevoegsel
adjust,aanpassen,adjust,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanpassen
adjustment,aanpassing,adjustment,0,0,0,0,0,0,0,0,0,0,nee,1,,,aanpassing
adjuvant,adjuvans,adjuvant,0,0,0,0,0,0,0,0,0,0,nee,1,,,adjuvans
administer,beheren,administer,0,0,0,0,0,0,0,0,0,0,nee,1,,,beheren
administration,administratie,administration,0,0,0,0,0,0,0,0,0,0,nee,1,,,administratie
administrative,administratief,administrative,0,0,0,0,0,0,0,0,0,1,ja,1,,,administratief
admirable,bewonderenswaardig,admirable,1,0,0,0,0,0,1,0,0,1,ja,1,,,bewonderenswaardig
admiral,admiraal,admiral,1,0,0,0,0,0,0,0,0,1,ja,1,,,admiraal
admiralty,admiraliteit,admiralty,0,0,0,0,0,0,0,0,0,0,nee,1,,,admiraliteit
admiration,bewondering,admiration,1,0,0,0,0,0,1,0,0,1,ja,1,,,bewondering
admire,bewonderen,admire,1,0,0,0,0,0,0,0,0,1,ja,1,,,bewonderen
admirer,bewonderaar,admirer,1,0,0,0,0,0,0,0,0,0,ja,1,,,bewonderaar
admissibility,toelaatbaarheid,admissibility,0,0,0,0,0,0,0,0,0,0,nee,1,,,toelaatbaarheid
admissible,toelaatbaar,admissible,1,0,0,0,0,0,0,0,0,1,ja,1,,,toelaatbaar
admission,toelating,admission,0,0,0,0,0,0,0,0,0,0,nee,1,,,toelating
admit,toegeven,admit,0,0,0,0,0,0,0,0,0,0,nee,1,,,toegeven
admittance,toelating,admittance,0,0,0,0,0,0,0,0,0,0,nee,1,,,toelating
admitted,toegegeven,admitted,0,0,0,0,0,0,0,0,0,0,nee,1,,,toegegeven
admitting,toelaten,admitting,0,0,0,0,0,0,0,0,0,0,nee,1,,,toelaten
admixture,toevoegsel,admixture,0,0,0,0,0,0,0,0,0,0,nee,1,,,toevoegsel
admonition,vermaning,admonition,0,1,0,0,0,1,0,0,0,0,ja,1,,,vermaning
ado,ophef,ado,0,0,0,0,0,0,0,0,0,0,nee,1,,,ophef
adobe,adobe,adobe,0,0,0,0,0,0,0,0,0,0,nee,1,,,adobe
adolescence,adolescentie,adolescence,0,0,0,0,0,0,0,0,0,0,nee,1,,,adolescentie
adolescent,puber,adolescent,0,0,0,0,0,0,0,0,0,0,nee,1,,,puber
adopt,adopteren,adopt,0,0,0,0,0,0,0,0,0,0,nee,1,,,adopteren
adoption,adoptie,adoption,0,0,0,0,0,0,0,0,0,0,nee,1,,,adoptie
adorable,aanbiddelijk,adorable,1,0,0,0,0,0,1,0,0,0,ja,1,,,aanbiddelijk
adoration,aanbidding,adoration,1,0,0,0,0,0,1,0,0,1,ja,1,,,aanbidding
adore,dol zijn op,adore,1,0,0,1,0,0,1,0,0,1,ja,3,,adoreren,adoreren
adorn,sieren,adorn,0,0,0,0,0,0,0,0,0,0,nee,1,,,sieren
adornment,versiering,adornment,0,0,0,0,0,0,0,0,0,0,nee,1,,,versiering
adrift,drijvend,adrift,0,1,0,1,0,1,0,1,0,0,ja,1,,,drijvend
adult,volwassen,adult,0,0,0,0,0,0,0,0,0,0,nee,1,,,volwassen
adulterated,vervalste,adulterated,0,1,0,0,0,0,0,0,0,0,ja,1,,,vervalste
adultery,overspel,adultery,0,1,0,0,1,0,0,1,0,0,ja,1,,,overspel
advance,van te voren,advance,1,0,0,1,0,1,1,0,1,0,ja,3,,vooruitgaan,vooruitgaan
advanced,gevorderd,advanced,1,0,0,0,0,0,0,0,0,0,ja,1,,,gevorderd
advancement,vordering,advancement,1,0,0,0,0,0,0,0,0,0,ja,1,,,vordering
advancing,oprukkende,advancing,0,0,0,0,0,0,0,0,0,0,nee,1,,,oprukkende
advantage,voordeel,advantage,1,0,0,0,0,0,0,0,0,0,ja,1,,,voordeel
advantageous,voordelig,advantageous,1,0,0,0,0,0,0,0,0,0,ja,1,,,voordelig
advent,komst,advent,1,0,0,1,0,0,1,0,0,1,ja,1,,,komst
adventure,avontuur,adventure,1,0,0,1,0,0,0,0,0,0,ja,1,,,avontuur
adventurer,avonturier,adventurer,0,0,0,0,0,0,0,0,0,0,nee,1,,,avonturier
adventurous,avontuurlijk,adventurous,1,0,0,0,0,0,0,0,0,0,ja,1,,,avontuurlijk
adversary,tegenstander,adversary,0,1,1,0,0,0,0,0,0,0,ja,1,,,tegenstander
adverse,nadelige,adverse,0,1,1,0,1,1,0,1,0,0,ja,1,,,nadelige
adversity,tegenslag,adversity,0,1,1,0,0,1,0,1,0,0,ja,1,,,tegenslag
advertise,adverteren,advertise,0,0,0,0,0,0,0,0,0,0,nee,1,,,adverteren
advertisement,advertentie,advertisement,0,0,0,0,0,0,0,0,0,0,nee,1,,,advertentie
advice,advies,advice,0,0,0,0,0,0,0,0,0,1,ja,1,,,advies
advisable,raadzaam,advisable,1,0,0,0,0,0,0,0,0,1,ja,1,,,raadzaam
advise,adviseren,advise,1,0,0,0,0,0,0,0,0,1,ja,1,,,adviseren
advised,adviseerde,advised,0,0,0,0,0,0,0,0,0,1,ja,1,,,adviseerde
advisement,advisement,advisement,0,0,0,0,0,0,0,0,0,0,nee,1,,,advisement
adviser,raadgever,adviser,1,0,0,0,0,0,0,0,0,1,ja,1,,,raadgever
advocacy,voorspraak,advocacy,1,0,1,1,0,0,1,0,0,1,ja,1,,,voorspraak
advocate,pleiten voor,advocate,0,0,0,0,0,0,0,0,0,1,ja,2,,,pleiten voor
aegis,aegis,aegis,0,0,0,0,0,0,0,0,0,0,nee,1,,,aegis
aeration,beluchting,aeration,0,0,0,0,0,0,0,0,0,0,nee,1,,,beluchting
aerial,antenne,aerial,0,0,0,0,0,0,0,0,0,0,nee,1,,,antenne
aerodrome,vliegterrein,aerodrome,0,0,0,0,0,0,0,0,0,0,nee,1,,,vliegterrein
aerodynamics,aërodynamica,aerodynamics,0,0,0,0,0,0,0,0,0,0,nee,1,,,aërodynamica
aeronautics,luchtvaart,aeronautics,0,0,0,0,0,0,0,0,0,0,nee,1,,,luchtvaart
aeroplane,vliegtuig,aeroplane,0,0,0,0,0,0,0,0,0,0,nee,1,,,vliegtuig
aesthetic,aesthetisch,aesthetic,1,0,0,0,0,0,0,0,0,0,ja,1,,,aesthetisch
aesthetics,schoonheidsleer,aesthetics,1,0,0,0,0,0,1,0,0,0,ja,1,,,schoonheidsleer
aetiology,NO TRANSLATION,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0,nee,2,ongelijk,,NO TRANSLATION
afar,in de verte,afar,0,0,0,0,0,0,0,0,0,0,nee,3,,,in de verte
affable,minzaam,affable,1,0,0,0,0,0,0,0,0,0,ja,1,,,minzaam
affair,affaire,affair,0,0,0,0,0,0,0,0,0,0,nee,1,,,affaire
affecting,invloed,affecting,0,0,0,0,0,0,0,0,0,0,nee,1,,,invloed
affection,genegenheid,affection,1,0,0,0,0,0,1,0,0,1,ja,1,,,genegenheid
affections,affecties,affections,0,0,0,0,0,0,0,0,0,0,nee,1,,,affecties
affiche,NO TRANSLATION,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0,nee,2,ongelijk,,NO TRANSLATION
affidavit,beëdigde verklaring,affidavit,0,0,0,0,0,0,0,0,0,0,nee,2,,,beëdigde verklaring
affiliated,aangesloten,affiliated,1,0,0,0,0,0,0,0,0,0,ja,1,,,aangesloten
affiliation,aansluiting,affiliation,0,0,0,0,0,0,0,0,0,0,nee,1,,,aansluiting
affinity,affiniteit,affinity,0,0,0,0,0,0,0,0,0,0,nee,1,,,affiniteit
affirm,bevestigen,affirm,1,0,0,0,0,0,0,0,0,1,ja,1,,,bevestigen
affirmation,bevestiging,affirmation,1,0,0,0,0,0,0,0,0,0,ja,1,,,bevestiging
affirmative,bevestigend,affirmative,1,0,0,0,0,0,0,0,0,0,ja,1,,,bevestigend
affirmatively,bevestigend,affirmatively,1,0,0,0,0,0,0,0,0,1,ja,1,,,bevestigend
affix,affix,affix,0,0,0,0,0,0,0,0,0,0,nee,1,,,affix
afflict,teisteren,afflict,0,1,0,0,0,1,0,1,0,0,ja,1,,,teisteren
afflicted,geteisterd,afflicted,0,1,0,0,0,0,0,0,0,0,ja,1,,,geteisterd
affliction,bezoeking,affliction,0,1,0,0,1,1,0,1,0,0,ja,1,,,bezoeking
affluence,rijkdom,affluence,1,0,0,0,0,0,1,0,0,0,ja,1,,,rijkdom
affluent,zijrivier,affluent,1,0,0,0,0,0,0,0,0,0,ja,1,,,zijrivier
afford,veroorloven,afford,1,0,0,0,0,0,0,0,0,0,ja,1,,,veroorloven
affront,belediging,affront,0,1,1,0,1,1,0,1,1,0,ja,1,,,belediging
afield,weg,afield,0,0,0,0,0,0,0,0,0,0,nee,1,,,weg
afore,afore,afore,0,0,0,0,0,0,0,0,0,0,nee,1,,,afore
aforementioned,voornoemd,aforementioned,0,0,0,0,0,0,0,0,0,0,nee,1,,,voornoemd
aforesaid,voornoemd,aforesaid,0,0,0,0,0,0,0,0,0,0,nee,1,,,voornoemd
afraid,bang,afraid,0,1,0,0,0,1,0,0,0,0,ja,1,,,bang
afresh,opnieuw,afresh,0,0,0,0,0,0,0,0,0,0,nee,1,,,opnieuw
aft,achteruit,aft,0,0,0,0,0,0,0,0,0,0,nee,1,,,achteruit
aftermath,nasleep,aftermath,0,1,1,0,1,1,0,1,0,0,ja,1,,,nasleep
